Sample;Estimated;True;Error;Samples_Used
1818;[27.279 55.923  3.7  ];[16.414 57.79   3.7  ];11.024242105469199;[2200]
1819;[ 18.44 131.08   0.  ];[ 18.83 130.99   0.  ];0.4002499219237879;[212]
1820;[ 51.793 140.32   11.1  ];[ 52.127 140.18   11.1  ];0.36215466309299166;[2897]
1821;[ 48.25 130.96   0.  ];[ 46.924 126.77    0.   ];4.394812396451082;[1402]
1822;[40.172 94.899  3.7  ];[40.049 93.63   3.7  ];1.2749470577243642;[1559]
1823;[23.334 74.928  0.   ];[23.234 73.765  0.   ];1.1672913089713262;[2529]
1824;[39.883 64.457 11.1  ];[40.261 65.487 11.1  ];1.0971709073795215;[1322]
1825;[35.258 59.299  0.   ];[30.689 64.297  0.   ];6.7716884895866265;[851]
1826;[57.6   98.793  0.   ];[55.472 99.737  0.   ];2.327986254254947;[618]
1827;[ 22.909 115.3     3.7  ];[ 22.921 115.55    3.7  ];0.25028783430282825;[1462]
1828;[26.621 76.625  3.7  ];[25.674 76.721  3.7  ];0.9518534551074546;[1595]
1829;[61.323 72.72   7.4  ];[62.025 72.432  7.4  ];0.7587806007008848;[1379]
1830;[42.39  80.438  0.   ];[42.078 80.572  0.   ];0.33955853692699084;[2163]
1831;[23.969 89.746  3.7  ];[23.802 87.805  3.7  ];1.948170937058644;[1663]
1832;[ 43.447 115.69   11.1  ];[ 43.403 115.24   11.1  ];0.4521459941213711;[2782]
1833;[25.863 91.384  0.   ];[25.819 90.893  0.   ];0.4929675445706337;[1530]
1834;[34.623 31.887  0.   ];[34.746 33.05   0.   ];1.1694862119751535;[3014]
1835;[ 50.11 140.55   3.7 ];[ 49.341 138.97    3.7  ];1.757202606417381;[2626]
1836;[ 47.726 131.9     0.   ];[ 48.038 131.75    0.   ];0.34618492168204007;[77]
1837;[ 55.661 107.43   11.1  ];[ 54.847 107.77   11.1  ];0.882154181535174;[1751]
1838;[ 22.162 144.45    0.   ];[ 22.362 144.91    0.   ];0.5015974481593851;[1201]
1839;[ 40.494 104.3     0.   ];[ 40.472 103.91    0.   ];0.39062001996825557;[1718]
1840;[ 40.862 111.24    7.4  ];[ 40.895 111.73    7.4  ];0.4911099673189387;[1817]
1841;[28.36  81.319  0.   ];[28.326 81.105  0.   ];0.21668410186259476;[1764]
1842;[12.324 96.958  0.   ];[13.037 96.899  0.   ];0.7154369294354332;[993]
1843;[ 39.468 129.94    0.   ];[ 40.293 129.59    0.   ];0.8961724164467398;[2880]
1844;[57.645 75.12   0.   ];[58.838 73.461  0.   ];2.0434113633823254;[1798]
1845;[48.173 78.603 11.1  ];[47.817 78.758 11.1  ];0.38827953847711516;[925]
1846;[38.556 77.441  7.4  ];[38.59  77.979  7.4  ];0.5390732788777393;[59]
1847;[37.732 20.414  0.   ];[37.231 20.632  0.   ];0.5463744137493973;[1508]
1848;[54.481 75.158 11.1  ];[55.528 74.704 11.1  ];1.1411945495839002;[838]
1849;[ 50.534 138.76   11.1  ];[ 51.28 140.52  11.1 ];1.91157422037442;[1110]
1850;[32.785 26.921  3.7  ];[32.84  27.492  3.7  ];0.573642745966514;[816]
1851;[37.019 55.789  0.   ];[36.907 54.648  0.   ];1.1464837547911424;[375]
1852;[ 38.409 144.43    3.7  ];[ 38.799 145.36    3.7  ];1.0084641788383033;[874]
1853;[ 22.162 144.45    0.   ];[ 22.93 149.01   0.  ];4.6242214479845165;[1201]
1854;[ 21.783 146.48    0.   ];[ 21.627 146.12    0.   ];0.39234678538251094;[1990]
1855;[ 34.487 130.32    3.7  ];[ 34.097 129.43    3.7  ];0.9716995420396041;[639]
1856;[ 31.701 146.      3.7  ];[ 31.924 145.89    3.7  ];0.24865437860613385;[1294]
1857;[40.272 81.196 11.1  ];[40.372 82.257 11.1  ];1.0657021159780133;[2765]
1858;[17.774 55.752  3.7  ];[18.242 55.715  3.7  ];0.4694603284623738;[2753]
1859;[27.958 95.577  0.   ];[28.237 98.51   0.   ];2.9462399766482092;[2021]
1860;[36.228 52.637  3.7  ];[36.462 53.122  3.7  ];0.538498839367366;[2081]
1861;[ 27.545 119.22    0.   ];[ 26.654 117.31    0.   ];2.10760076864666;[1010]
1862;[ 26.308 132.64    0.   ];[ 28.236 131.73    0.   ];2.1319671667265414;[2606]
1863;[ 59.394 105.19    0.   ];[ 58.347 106.43    0.   ];1.622901414134579;[2470]
1864;[ 59.538 133.29    0.   ];[ 55.348 132.97    0.   ];4.202201803816658;[1816]
1865;[22.253 83.858  3.7  ];[22.197 83.271  3.7  ];0.5896651592217433;[2985]
1866;[39.883 64.457 11.1  ];[40.172 65.231 11.1  ];0.8261942870778024;[1322]
1867;[ 24.279 146.12    0.   ];[ 20.646 146.55    0.   ];3.6583587850291557;[462]
1868;[ 23.377 115.66    3.7  ];[ 23.333 115.18    3.7  ];0.48201244797203135;[1911]
1869;[ 44.227 120.78    0.   ];[ 43.313 121.18    0.   ];0.9976953442810056;[2254]
1870;[30.589 15.106  0.   ];[30.121 15.32   0.   ];0.5146066458956784;[566]
1871;[ 46.667 126.91   11.1  ];[ 44.361 124.25   11.1  ];3.520402817860479;[316]
1872;[ 65.768 103.23    0.   ];[ 66.103 103.09    0.   ];0.36307712679263615;[2888]
1873;[ 23.198 152.22    0.   ];[ 23.064 151.93    0.   ];0.3194620478241437;[1660]
1874;[21.295 25.262  0.   ];[19.423 27.572  0.   ];2.973295141757711;[2616]
1875;[ 51.938 131.4     0.   ];[ 51.57 131.58   0.  ];0.40966327636243405;[877]
1876;[58.314 81.548  0.   ];[58.76  81.351  0.   ];0.487570507721703;[310]
1877;[34.935 28.121  3.7  ];[35.125 28.479  3.7  ];0.4052949543233909;[793]
1878;[48.73  79.878  3.7  ];[48.296 80.065  3.7  ];0.4725727457228114;[560]
1879;[ 23.266 120.47    3.7  ];[ 23.244 120.26    3.7  ];0.21114923632350013;[1509]
1880;[ 18.44 131.08   0.  ];[ 20.034 130.71    0.   ];1.6363789292214672;[212]
1881;[50.435 69.792  0.   ];[47.338 69.631  0.   ];3.1011820327094646;[3022]
1882;[ 4.5797 50.263   0.    ];[ 5.6047 62.334   0.    ];12.114440391532748;[3055]
1883;[ 24.915 118.1     3.7  ];[ 25.25 116.48   3.7 ];1.6542747655694834;[2344]
1884;[ 48.172 126.06    0.   ];[ 47.904 126.17    0.   ];0.28969639279769505;[1563]
1885;[38.779 64.921 11.1  ];[38.735 64.436 11.1  ];0.486991786378374;[2110]
1886;[25.027 95.87   0.   ];[22.643 98.441  0.   ];3.506208350911279;[257]
1887;[38.199 93.448  7.4  ];[38.233 93.939  7.4  ];0.4921757816065309;[458]
1888;[35.303 28.836  3.7  ];[35.481 29.178  3.7  ];0.3855489592775516;[204]
1889;[17.873 87.367  0.   ];[ 22.776 100.02    0.   ];13.569739054233864;[2963]
1890;[ 39.646 141.91    0.   ];[ 39.256 141.09    0.   ];0.908019823572145;[1686]
1891;[ 41.508 115.16    7.4  ];[ 39.759 116.44    7.4  ];2.167348841326659;[1171]
1892;[21.974 84.962  0.   ];[21.462 85.004  0.   ];0.5137197679669341;[1998]
1893;[39.928 24.953  0.   ];[40.184 24.841  0.   ];0.27942798714516726;[2658]
1894;[ 49.028 169.33    0.   ];[ 49.24 169.83   0.  ];0.5430874699346335;[2461]
1895;[ 30.053 103.7     0.   ];[ 29.696 103.75    0.   ];0.3604843963335989;[159]
1896;[41.32  71.088  7.4  ];[40.952 71.242  7.4  ];0.39892355157348736;[338]
1897;[ 2.4849 25.865   0.    ];[ 2.7858 29.316   0.    ];3.464093216124532;[2795]
1898;[47.839 69.402  0.   ];[47.616 69.503  0.   ];0.24480604567697947;[702]
1899;[ 63.684 104.13    0.   ];[ 66.058 102.35    0.   ];2.9672000269614536;[2633]
1900;[ 51.938 131.4     0.   ];[ 52.284 131.24    0.   ];0.3812033578026255;[877]
1901;[32.706 81.11   0.   ];[31.179 81.249  0.   ];1.5333134056676125;[1069]
1902;[24.537 93.768  3.7  ];[23.813 99.38   3.7  ];5.658508637441489;[1569]
1903;[ 31.858 114.25    0.   ];[ 26.442 116.87    0.   ];6.0164321653285535;[1097]
1904;[ 48.907 125.75    0.   ];[ 49.854 125.35    0.   ];1.028012159461166;[786]
1905;[ 23.601 100.98    3.7  ];[ 23.623 100.75    3.7  ];0.23104977818643738;[2352]
1906;[ 41.998 121.13    7.4  ];[ 43.625 125.26    7.4  ];4.438922053832449;[2166]
1907;[ 56.742 108.27    3.7  ];[ 57.154 108.09    3.7  ];0.4496042704423551;[2286]
1908;[ 58.   142.13   0.  ];[ 52.272 146.08    0.   ];6.957908018937887;[823]
1909;[ 21.549 130.37    0.   ];[ 21.917 130.29    0.   ];0.376595273470079;[888]
1910;[ 50.567 145.15   11.1  ];[ 54.601 143.79   11.1  ];4.257083038889426;[2387]
1911;[ 33.15 125.55   3.7 ];[ 32.704 125.74    3.7  ];0.48478448820068215;[2089]
1912;[52.753 75.899 11.1  ];[52.397 76.054 11.1  ];0.38827953847711516;[2370]
1913;[21.395 93.726  3.7  ];[20.537 84.151  3.7  ];9.613365123618266;[2409]
1914;[ 59.259 135.56    0.   ];[ 58.925 135.71    0.   ];0.3661365865356859;[1996]
1915;[ 21.649 152.22    0.   ];[ 22.93 151.64   0.  ];1.4061866874636566;[382]
1916;[ 50.11 140.55   3.7 ];[ 49.787 139.9     3.7  ];0.7258298698731044;[2626]
1917;[ 29.26 143.58   0.  ];[ 30.508 143.06    0.   ];1.3520000000000016;[191]
1918;[ 67.885 131.68    0.   ];[ 63.115 133.82    0.   ];5.228049349422782;[995]
1919;[40.272 81.372  7.4  ];[39.916 81.521  7.4  ];0.38592356756228485;[254]
1920;[ 22.865 114.61    3.7  ];[ 22.876 114.84    3.7  ];0.2302628932329347;[445]
1921;[63.083 71.664  0.   ];[63.864 72.443  0.   ];1.1030874851977936;[1002]
1922;[43.17  81.068  3.7  ];[39.169 84.114  3.7  ];5.028530302185727;[1617]
1923;[ 57.253 142.46    0.   ];[ 57.621 142.29    0.   ];0.4053689677318763;[678]
1924;[ 21.294 107.97    0.   ];[ 21.572 107.94    0.   ];0.27961401967712446;[2587]
1925;[15.121 57.571  3.7  ];[15.088 57.027  3.7  ];0.5449999999999969;[2625]
1926;[ 24.213 118.64    0.   ];[ 24.091 118.29    0.   ];0.3706534769835513;[626]
1927;[24.771 98.622  3.7  ];[24.771 98.708  3.7  ];0.08599999999999852;[337]
1928;[ 34.32 134.64   3.7 ];[ 33.919 133.68    3.7  ];1.0403850248825977;[655]
1929;[20.66  66.052  3.7  ];[20.615 65.503  3.7  ];0.5508411749315836;[474]
1930;[ 53.33 145.63   0.  ];[ 52.985 145.77    0.   ];0.3723237838226338;[1587]
1931;[ 41.107 118.81    3.7  ];[ 41.151 119.31    3.7  ];0.5019322663467656;[3069]
1932;[ 21.851 120.07    3.7  ];[ 21.338 121.2     3.7  ];1.2409951651799533;[147]
1933;[39.794 13.682  0.   ];[33.509 15.176  0.   ];6.4601285590923;[3036]
1934;[17.963 49.821  3.7  ];[17.919 49.309  3.7  ];0.513887147144196;[958]
1935;[ 45.363 147.62    0.   ];[ 44.482 148.      0.   ];0.9594587015604147;[1561]
1936;[39.382 22.611  0.   ];[42.379 20.062  0.   ];3.934388135403013;[2589]
1937;[ 63.551 105.33    3.7  ];[ 63.161 105.5     3.7  ];0.4254409477236542;[1193]
1938;[ 31.066 126.43    3.7  ];[ 29.907 128.81    3.7  ];2.6472024856440384;[2790]
1939;[41.676 96.457 11.1  ];[41.631 95.982 11.1  ];0.4771268175233863;[860]
1940;[19.423 22.174  0.   ];[19.969 22.137  0.   ];0.5472522270397839;[3080]
1941;[ 42.088 115.54    3.7  ];[ 41.976 114.33    3.7  ];1.2151724157501353;[725]
1942;[ 24.213 118.64    0.   ];[ 24.325 118.99    0.   ];0.3674833329553813;[626]
1943;[ 15.476 129.66    0.   ];[ 17.148 129.3     0.   ];1.7103169296946064;[3078]
1944;[ 41.107 118.81    3.7  ];[ 41.196 119.79    3.7  ];0.9840330279009987;[3069]
1945;[39.414 99.679  3.7  ];[39.358 99.145  3.7  ];0.5369283006137849;[2049]
1946;[27.446 73.008  0.   ];[27.424 72.784  0.   ];0.22507776433933985;[2045]
1947;[24.193 33.285  0.   ];[18.877 30.927  0.   ];5.815498258962856;[601]
1948;[ 37.607 137.62    3.7  ];[ 35.256 132.14    3.7  ];5.963019453263606;[218]
1949;[ 24.703 120.12    0.   ];[ 13.125 130.16    0.   ];15.324871418710169;[2761]
1950;[21.495 94.83   3.7  ];[21.584 95.865  3.7  ];1.0388195223425447;[117]
1951;[39.548 92.472  0.   ];[39.514 92.147  0.   ];0.3267736219464364;[2261]
1952;[ 24.938 102.17    3.7  ];[24.582 94.648  3.7  ];7.5304196430212365;[2522]
1953;[ 50.323 100.24    0.   ];[ 50.134 100.32    0.   ];0.20523401277565995;[2109]
1954;[29.318 83.479  0.   ];[29.396 84.226  0.   ];0.7510612491668038;[1280]
1955;[58.638   2.5284  0.    ];[59.151   2.2937  0.    ];0.5641392469949289;[661]
1956;[ 64.653 134.81   11.1  ];[ 62.569 135.71   11.1  ];2.2700343609734244;[712]
1957;[ 22.508 133.61    0.   ];[ 21.349 134.13    0.   ];1.2703074431018573;[2899]
1958;[ 43.626 114.97   11.1  ];[ 41.987 115.87   11.1  ];1.8698451807569514;[2277]
1959;[ 45.698 111.04    0.   ];[ 43.57 111.95   0.  ];2.3144079156449484;[2357]
1960;[ 42.511 128.64    0.   ];[ 42.956 128.46    0.   ];0.48002604096027174;[3096]
1961;[ 42.41 125.32   7.4 ];[ 42.578 125.74    7.4  ];0.4523538437993023;[1134]
1962;[ 25.874 115.22    0.   ];[ 30.743 116.22    0.   ];4.970629839366436;[1810]
1963;[ 13.738 116.14    0.   ];[ 11.075 113.84    0.   ];3.5187453729987324;[1702]
1964;[28.126 79.254  0.   ];[28.159 79.505  0.   ];0.2531600284405007;[36]
1965;[ 58.09 108.77   3.7 ];[ 58.569 108.57    3.7  ];0.5190770655692662;[1527]
1966;[35.448 40.054  0.   ];[41.945 38.016  0.   ];6.8091448068021005;[437]
1967;[40.896 81.767 11.1  ];[40.941 83.911 11.1  ];2.1444721961359217;[1156]
1968;[ 42.867 130.89    0.   ];[ 43.714 130.53    0.   ];0.9203309187460734;[2815]
1969;[47.405 54.253  0.   ];[48.486 53.773  0.   ];1.182776817493473;[2141]
1970;[19.345 27.209  0.   ];[21.396 25.166  0.   ];2.8949006891428946;[656]
1971;[47.672 79.142  3.7  ];[47.226 79.329  3.7  ];0.48361658366933336;[1818]
1972;[ 23.266 120.47    3.7  ];[ 23.277 120.68    3.7  ];0.21028789789239752;[1509]
1973;[ 29.44 106.98   0.  ];[ 29.005 107.03    0.   ];0.43786413417863046;[664]
1974;[ 40.214 150.26    0.   ];[ 40.337 150.53    0.   ];0.2966968149475263;[2631]
1975;[ 24.893 100.87    3.7  ];[ 24.994 102.14    3.7  ];1.274009811579169;[612]
1976;[33.966 25.273  0.   ];[34.534 23.209  0.   ];2.1407288478459847;[1245]
1977;[39.403 86.642  3.7  ];[39.447 87.159  3.7  ];0.5188689622631236;[3081]
1978;[ 22.217 150.05    0.   ];[ 22.663 151.04    0.   ];1.085825031945738;[151]
1979;[ 8.7692 77.334   0.    ];[ 8.3904 72.779   0.    ];4.570723623235172;[1844]
1980;[21.618 76.753  3.7  ];[21.183 71.856  3.7  ];4.916282538666798;[2383]
1981;[40.807 87.021 11.1  ];[41.219 91.827 11.1  ];4.823627265865386;[243]
1982;[ 34.487 130.32    3.7  ];[ 34.677 130.77    3.7  ];0.48846698967280733;[639]
1983;[41.644 29.594  0.   ];[44.263 23.742  0.   ];6.411323186363327;[1919]
1984;[ 10.685 100.8     0.   ];[ 10.741 101.39    0.   ];0.5926516683516583;[2487]
1985;[22.922 77.313  3.7  ];[22.977 77.937  3.7  ];0.6264191887226908;[2346]
1986;[18.599 36.891  3.7  ];[18.554 36.464  3.7  ];0.42936464689119413;[1412]
1987;[ 41.018 117.78    3.7  ];[ 40.962 117.21    3.7  ];0.5727442710320271;[2454]
1988;[ 31.277 140.5     0.   ];[ 30.843 138.56    0.   ];1.9879527157354604;[2087]
1989;[63.106 72.768  0.   ];[61.646 73.392  0.   ];1.5877581679840278;[2613]
1990;[ 51.047 111.75    3.7  ];[ 52.529 111.13    3.7  ];1.6064631959680946;[381]
1991;[28.014 78.246  0.   ];[28.07  78.742  0.   ];0.4991512796738173;[1574]
1992;[ 46.021 127.15    0.   ];[ 46.467 126.96    0.   ];0.4847844882006877;[1532]
1993;[ 39.534 150.18    3.7  ];[ 41.206 151.12    3.7  ];1.9181199128313147;[582]
1994;[26.321 53.608  0.   ];[26.655 53.581  0.   ];0.3350895402724463;[3087]
1995;[61.322 97.134  0.   ];[ 67.328 109.02    0.   ];13.317245661171828;[1771]
1996;[42.045 40.502  0.   ];[41.053 40.929  0.   ];1.0799967592544009;[1428]
1997;[20.426 27.476  0.   ];[19.624 37.301  0.   ];9.857678682123904;[2696]
1998;[35.258 24.457  3.7  ];[35.169 24.281  3.7  ];0.19722322378462862;[1584]
1999;[ 42.244 110.48    7.4  ];[ 40.561 106.83    7.4  ];4.019326933704204;[150]
2000;[ 41.909 133.85    0.   ];[ 41.586 134.      0.   ];0.35613059402416125;[1649]
2001;[42.502 40.305  0.   ];[38.223 37.339  0.   ];5.206438033819286;[1520]
2002;[ 17.906 111.11    0.   ];[ 23.333 116.02    0.   ];7.3184990947597965;[3042]
2003;[40.964 24.505  0.   ];[41.064 23.219  0.   ];1.2898821651608314;[892]
2004;[ 41.04 110.99   0.  ];[ 41.063 111.31    0.   ];0.32082549773982255;[1081]
2005;[ 51.292 135.6     0.   ];[ 50.868 135.79    0.   ];0.464624579633922;[2302]
2006;[ 25.996 107.4     0.   ];[ 25.595 107.44    0.   ];0.40299007431945416;[377]
2007;[39.882 91.848  3.7  ];[39.993 93.016  3.7  ];1.1732625452131402;[2006]
2008;[30.444 74.203  0.   ];[30.466 74.576  0.   ];0.373648230291531;[2035]
2009;[ 42.578 106.24   11.1  ];[ 42.768 108.31   11.1  ];2.0787015177749857;[1151]
2010;[ 37.607 137.62    3.7  ];[ 35.067 131.68    3.7  ];6.460278631761943;[218]
2011;[27.903 67.898  0.   ];[27.925 68.181  0.   ];0.2838538356267197;[51]
2012;[39.715 94.563  0.   ];[39.659 93.864  0.   ];0.7012396166789194;[1006]
2013;[37.554 61.252  7.4  ];[37.62  61.422  7.4  ];0.18236227680087116;[2731]
2014;[33.297 57.523  3.7  ];[32.049 57.587  3.7  ];1.2496399481450624;[2319]
2015;[ 41.876 110.4     3.7  ];[ 42.255 111.23    3.7  ];0.9124368471297073;[2306]
2016;[19.512 72.896  3.7  ];[19.423 71.84   3.7  ];1.059743836971933;[2797]
2017;[ 43.258 112.91    0.   ];[ 42.957 113.04    0.   ];0.3278734511972625;[1976]
2018;[24.872 79.446  0.   ];[24.649 77.073  0.   ];2.383455055166768;[2253]
2019;[ 49.587 119.91    0.   ];[ 48.607 117.68    0.   ];2.43583661192617;[1616]
2020;[ 44.06 129.41   7.4 ];[ 43.904 129.01    7.4  ];0.42934368517541305;[1249]
2021;[32.985 27.348  0.   ];[33.041 27.94   0.   ];0.5946427498927422;[1840]
2022;[17.963 49.821  3.7  ];[18.008 50.327  3.7  ];0.507997047235513;[958]
2023;[37.443 13.41   0.   ];[37.632 15.17   0.   ];1.7701189225585945;[2361]
2024;[16.804 61.689  3.7  ];[16.982 63.684  3.7  ];2.002925110931507;[3021]
2025;[29.987 57.699  3.7  ];[28.494 55.859  3.7  ];2.3695250578966203;[1076]
2026;[39.815 82.801  0.   ];[39.481 82.951  0.   ];0.3661365865356736;[2976]
2027;[56.486 75.616  0.   ];[59.161 74.464  0.   ];2.9125124892436127;[239]
2028;[38.132 92.456  7.4  ];[38.377 96.094  7.4  ];3.6462403925139024;[2105]
2029;[ 8.9586 79.633   0.    ];[ 9.148 81.943  0.   ];2.3177515742633013;[976]
2030;[22.598 87.826  3.7  ];[22.643 88.365  3.7  ];0.540875216662773;[3025]
2031;[ 29.25 122.86   0.  ];[ 28.526 121.32    0.   ];1.7016979755526596;[525]
2032;[37.398 42.508  0.   ];[34.623 45.655  0.   ];4.195739982410734;[1197]
2033;[57.623 74.496 11.1  ];[59.283 73.088 11.1  ];2.1767094431733454;[1268]
2034;[ 40.862 108.83    0.   ];[ 40.84 108.45   0.  ];0.38063630935578974;[2194]
2035;[49.176 77.563  0.   ];[45.231 80.47   0.   ];4.900374883618597;[531]
2036;[19.913 77.281  3.7  ];[19.813 76.219  3.7  ];1.066697707881678;[1877]
2037;[23.746 67.759  0.   ];[26.499 80.428  0.   ];12.96466621244064;[1351]
2038;[25.674 89.41   0.   ];[25.774 90.408  0.   ];1.002997507474475;[2875]
2039;[ 4.2791 22.569   0.    ];[ 4.4574 24.825   0.    ];2.2630348848393833;[2705]
2040;[ 21.851 120.07    3.7  ];[ 21.227 120.13    3.7  ];0.6268779785572299;[147]
2041;[ 45.854 130.95    7.4  ];[ 46.032 131.41    7.4  ];0.49323827913089463;[2464]
2042;[ 33.64 145.11   3.7 ];[ 32.904 145.45    3.7  ];0.8107379354637223;[2565]
2043;[ 46.242 162.87    0.   ];[ 49.552 166.67    0.   ];5.039454335540692;[2950]
2044;[36.15  21.107  0.   ];[35.76  19.896  0.   ];1.2722503684416826;[434]
2045;[ 7.2763 59.123   0.    ];[ 7.2206 58.553   0.    ];0.5727150163912242;[22]
2046;[38.824 40.251  0.   ];[38.434 40.438  0.   ];0.43251473963323167;[555]
2047;[ 62.291 132.14    0.   ];[ 69.411 133.      0.   ];7.171750135078612;[2135]
2048;[44.117 80.369 11.1  ];[43.749 80.529 11.1  ];0.40127795852749654;[256]
2049;[ 56.863 138.15   11.1  ];[ 57.398 137.27   11.1  ];1.029866496202297;[1162]
2050;[64.688 71.424 11.1  ];[62.671 72.299 11.1  ];2.198616383091878;[1806]
2051;[39.369 89.368  7.4  ];[39.213 87.133  7.4  ];2.2404376804544235;[3035]
2052;[  8.9803 101.73     0.    ];[  8.9135 101.03     0.    ];0.7031800907306774;[2720]
2053;[58.314 81.548  0.   ];[62.905 79.505  0.   ];5.0250502485049875;[310]
2054;[34.4   77.729  0.   ];[34.622 77.707  0.   ];0.22308742680841703;[1492]
2055;[ 43.602 140.8     0.   ];[ 52.439 140.08    0.   ];8.866282704719044;[457]
2056;[ 43.626 114.97   11.1  ];[ 43.525 116.55   11.1  ];1.5832248734781786;[2277]
2057;[ 11.142 106.39    0.   ];[ 11.22 107.34   0.  ];0.9531967268093222;[1105]
2058;[23.334 74.928  0.   ];[23.289 74.464  0.   ];0.4661770050098981;[2529]
2059;[ 22.162 144.45    0.   ];[ 22.262 144.68    0.   ];0.25079872407970627;[1201]
2060;[22.877 81.937  0.   ];[22.899 82.22   0.   ];0.2838538356267197;[1169]
2061;[ 53.186 143.97   11.1  ];[ 52.127 144.44   11.1  ];1.1586116691972308;[968]
2062;[ 67.773 133.48   11.1  ];[ 67.873 132.81   11.1  ];0.6774215821775867;[1336]
2063;[ 23.377 115.66    3.7  ];[ 23.411 116.13    3.7  ];0.4712281825188293;[1911]
2064;[ 40.114 143.5     3.7  ];[ 40.883 146.33    3.7  ];2.9326201595160732;[590]
2065;[36.417 38.16   0.   ];[35.314 38.662  0.   ];1.211863441151686;[1034]
2066;[61.133 74.491  3.7  ];[62.181 72.933  3.7  ];1.8776762234208446;[868]
2067;[ 44.294 118.63   11.1  ];[ 44.361 117.08   11.1  ];1.5514473887309201;[1277]
2068;[ 36.337 127.91    0.   ];[ 35.981 128.07    0.   ];0.3903024468280978;[308]
2069;[39.503 87.714  3.7  ];[39.559 88.296  3.7  ];0.584687950961886;[1864]
2070;[23.546 84.791  3.7  ];[23.501 84.135  3.7  ];0.6575416336628342;[1046]
2071;[ 19.331 146.81    0.   ];[ 19.22 146.56   0.  ];0.2735342757315802;[2811]
2072;[37.732 20.414  0.   ];[35.459 20.024  0.   ];2.3062152978418955;[1508]
2073;[ 8.9586 79.633   0.    ];[ 9.1925 82.545   0.    ];2.9213786488574254;[976]
2074;[35.782 22.078  0.   ];[38.969 14.578  0.   ];8.149047122210058;[1179]
2075;[ 16.279 111.3     0.   ];[ 14.953 111.46    0.   ];1.3356182089204984;[708]
2076;[55.762 74.048  7.4  ];[52.04  75.638  7.4  ];4.047392246867113;[1239]
2077;[22.778 25.54   0.   ];[21.039 24.553  0.   ];1.9995724543011657;[2491]
2078;[43.392 81.265  0.   ];[41.231 82.193  0.   ];2.351830138424117;[2693]
2079;[ 43.96 115.93  11.1 ];[ 44.16 116.5   11.1 ];0.6040695324215505;[740]
2080;[35.57  56.206  0.   ];[35.748 58.211  0.   ];2.012885739429832;[699]
2081;[ 18.274 104.3     0.   ];[ 17.773 104.36    0.   ];0.5045800233857871;[1298]
2082;[ 59.259 135.56    0.   ];[ 59.605 135.4     0.   ];0.3812033578026255;[1996]
2083;[ 23.298 143.84    0.   ];[ 23.198 143.6     0.   ];0.26000000000000756;[2747]
2084;[ 24.949 102.32    3.7  ];[24.57  94.499  3.7  ];7.830177648048604;[1469]
2085;[ 55.994 143.15   11.1  ];[ 55.426 143.41   11.1  ];0.6246791176275968;[2092]
2086;[ 40.862 111.24    7.4  ];[ 41.007 113.29    7.4  ];2.055121650900512;[1817]
2087;[22.51  57.966  0.   ];[24.995 53.72   0.   ];4.919729769001547;[2428]
2088;[ 41.953 136.17    0.   ];[ 42.41 135.95   0.  ];0.5071972003077242;[6]
2089;[ 7.6551 63.753   0.    ];[ 7.5548 62.564   0.    ];1.1932229841902982;[569]
2090;[ 32.827 120.81    0.   ];[ 32.693 120.5     0.   ];0.3377217789838279;[1740]
2091;[ 19.923 121.09    3.7  ];[ 22.62 120.81   3.7 ];2.7114957127017583;[2979]
2092;[ 57.198 130.7     0.   ];[ 55.003 131.6     0.   ];2.372345885405417;[1225]
2093;[ 41.741 143.13    3.7  ];[ 41.295 142.78    3.7  ];0.5669356224475529;[2203]
2094;[ 27.6  128.79   0.  ];[ 29.25 128.61   0.  ];1.6597891432347627;[573]
2095;[ 42.901 112.64    3.7  ];[ 43.035 112.93    3.7  ];0.3194620478241536;[1668]
2096;[ 53.665 145.48    0.   ];[ 57.554 143.82    0.   ];4.228465560933423;[1241]
2097;[37.13  48.476  0.   ];[37.32  48.834  0.   ];0.4052949543233941;[2061]
2098;[36.93  58.142 11.1  ];[40.54  66.239 11.1  ];8.865298020935338;[2488]
2099;[ 51.468 174.98    0.   ];[ 40.794 151.58    0.   ];25.719531022162887;[2896]
2100;[ 48.25 130.96   0.  ];[ 47.837 131.15    0.   ];0.4546086228834605;[1402]
2101;[ 49.131 109.3    11.1  ];[ 48.796 109.45   11.1  ];0.3670490430446622;[176]
2102;[24.537 93.768  3.7  ];[ 23.657 100.52    3.7  ];6.8091044932501905;[1569]
2103;[ 47.871 110.12    7.4  ];[ 48.529 109.85    7.4  ];0.7112411686622248;[1142]
2104;[37.264 58.707  7.4  ];[37.297 59.129  7.4  ];0.4232883178165884;[779]
2105;[ 26.409 107.34    0.   ];[ 26.843 107.3     0.   ];0.43583941997024706;[565]
2106;[ 49.899 130.9     0.   ];[ 49.587 131.04    0.   ];0.34197075898385626;[2124]
2107;[ 63.672 131.55    0.   ];[ 67.428 129.98    0.   ];4.070925693254554;[2581]
2108;[ 27.858 101.93    3.7  ];[ 26.621 105.26    3.7  ];3.5523328954364612;[2175]
2109;[18.71  63.983  3.7  ];[18.765 64.564  3.7  ];0.5835974640109356;[1491]
2110;[ 43.045 135.65    0.   ];[ 43.38 135.49   0.  ];0.3712478956169307;[261]
2111;[23.211 90.637  0.   ];[22.119 91.853  0.   ];1.6343561423386221;[1830]
